COUNT	608
data_finance.app_finance_os_asset_check_v1	table
data_finance.app_finance_os_badcase_by_name_ma_v1	table
data_finance.app_finance_os_badcase_dept_ma_v1	table
data_finance.app_finance_os_badcase_indexcode_ma_v1	table
data_finance.app_finance_os_bu01_ma_v1	table
data_finance.app_finance_os_bu02_ma_v1	table
data_finance.app_finance_os_bu03_ma_v1	table
data_finance.app_finance_os_bu04_ma_v1	table
data_finance.app_finance_os_bu05_ma_v1	table
data_finance.app_finance_os_bu06_ma_v1	table
data_finance.app_finance_os_bu07_ma_v1	table
data_finance.app_finance_os_bu08_ma_v1	table
data_finance.app_finance_os_budget_bmh_approve_detail_mi_v1	table
data_finance.app_finance_os_buffett_svmachine_flag_rent_da_v1	table
data_finance.app_finance_os_bugdet_online_ma_v1	table
data_finance.app_finance_os_commodity_bu_warn_ma_v1	table
data_finance.app_finance_os_entity_supplier_final_bill_da_v1	table
data_finance.app_finance_os_entity_supplier_final_bill_to_ectime_da_v1	table
data_finance.app_finance_os_hurdle_template_da_v1	table
data_finance.app_finance_os_invoice_approve_diff_rate_mi_v1	table
data_finance.app_finance_os_pay_tax_ma_v1	table
data_finance.app_finance_os_pay_tax_warn_ma_v1	table
data_finance.app_finance_os_tax_invoice_scan_da_v1	table
data_finance.app_finance_os_workflow_approval_error_rate_mi_v1	table
data_finance.app_finance_os_workflow_deadline_ma_v1	table
data_finance.app_finance_os_workflow_finish_mi_v1	table
data_finance.app_finance_os_workflow_node_message_ma_v1	table
data_finance.app_finance_os_workflow_status_all_mi_v1	table
data_finance.app_finance_os_workflow_vat_return_rate_v1	table
data_finance.app_finance_payment_review_payment_review_view	view
data_finance.app_finance_post_investment_financial_analysis_financial_analysis_view	view
data_finance.app_finance_quality_financial0203_financial_approval_view	view
data_finance.app_finance_quality_financial0204_services_research_view	view
data_finance.app_finance_relation_manange_degree_rate_view	view
data_finance.app_finance_store_count_v1	table
data_finance.app_finance_store_skudivision_wasteinfo_daily_di_v1	table
data_finance.app_finance_store_unified_assets_booking_warn_warehouse_v1	table
data_finance.app_finance_tripartite_price_comparison_investment_risk_control_view	view
data_finance.app_finance_voucher_systematic_analysis_view	view
data_finance.app_mail_finance_daily_order_sku_promotion_v1	table
data_finance.app_mail_finance_development_monthly_avg_month_rent	table
data_finance.app_mail_finance_development_monthly_deparment_cost	table
data_finance.app_mail_finance_dianzhang_month_v1_post	table
data_finance.app_mail_finance_dianzhang_month_v1_pre	table
data_finance.app_mail_finance_huangwenlin_day_store_class_time_price_part1	table
data_finance.app_mail_finance_huangwenlin_day_store_class_time_price_part2	table
data_finance.app_mail_finance_huangwenlin_day_store_class_waste	table
data_finance.app_mail_finance_huangwenlin_day_store_time_price	table
data_finance.app_mail_finance_huangwenlin_month_store_adjust_balance_amount	table
data_finance.app_mail_finance_huangwenlin_month_store_water_electricity_cost	table
data_finance.app_mail_finance_order_sku_promotion	table
data_finance.app_mail_finance_order_sku_promotion_v1	table
data_finance.app_mail_finance_order_sku_promotion_v2	table
data_finance.app_mail_finance_store_electrictity_payinfo_detail_weekly_di_v1	table
data_finance.app_mail_finance_store_electrictity_payinfo_weekly_di_v1	table
data_finance.app_mail_finance_store_water_payinfo_weekly_di_v1	table
data_finance.app_md_data_governance_suppliers_management_gross_profit_margin_calculate_detail_warehouse_sku_di_v1	view
data_finance.app_store_construction_project_pipeline_indicators_ha_v1	view
data_finance.dim_date_reference_v1	view
data_finance.dim_date_ya_v2	view
data_finance.dim_finance_sku_info	table
data_finance.dim_finance_store_asset_card_da_v1	table
data_finance.dim_finance_store_chengzhongcai_sku_info	table
data_finance.dim_finance_store_classification_info	view
data_finance.dim_finance_store_info_view	view
data_finance.dim_finance_store_withdraw_asset_card_da_v1	table
data_finance.dim_finance_test_da_v1	table
data_finance.dim_hive_table_info	view
data_finance.dim_sku_components_v2	view
data_finance.dim_sku_info	view
data_finance.dim_store_construction_project_info	view
data_finance.dim_store_construction_project_info_ha	view
data_finance.dim_store_info	view
data_finance.dim_store_info_managers	view
data_finance.dim_store_sku_info	view
data_finance.dim_user_hr	view
data_finance.dim_user_hr_view_staff_dept	view
data_finance.dim_vendor_info	view
data_finance.dim_warehouse_info_v2	view
data_finance.dm_app_logistics_user_info_di	view
data_finance.dm_app_logistics_work_piece_di_detail_v1	view
data_finance.dm_bidding_platform_charging_new_sku_display_fee_receivable_apportion_sum_detail_di_v1	view
data_finance.dm_contract_vendor_complex_price_info_area_vendor_sku_day_v1	view
data_finance.dm_contract_vendor_complex_price_info_warehouse_vendor_sku_day_v2	view
data_finance.dm_dms_order_third_dispatch_order_bill_accounts	view
data_finance.dm_finance_app_mail_finance_stat_data_tmp_xili01_onoffline	table
data_finance.dm_finance_bill_vdalccost_balance_payment_detail_acount_ded_ssku_day_v1	view
data_finance.dm_finance_bill_vdalccost_balance_payment_detail_v1	view
data_finance.dm_finance_business_fin_fee_flow_info_di_v1_view	view
data_finance.dm_finance_business_fin_flow_info_di_v1_view	view
data_finance.dm_finance_business_inventory_store_sku_info_di_v1_view	view
data_finance.dm_finance_business_inventory_warehouse_sku_info_di_v1_view	view
data_finance.dm_finance_business_psd_flow_info_di_v1_view	view
data_finance.dm_finance_daily_allbill_invoice_info_v1	table
data_finance.dm_finance_daily_inventory_store_stocktaking_v1	table
data_finance.dm_finance_daily_manual_store_waste_adjustment_di_v1	table
data_finance.dm_finance_daily_merger_orders_info_di_v1	table
data_finance.dm_finance_daily_store_bonus_related_4sku_call_back	table
data_finance.dm_finance_daily_store_bonus_related_expenses	table
data_finance.dm_finance_daily_store_bonus_related_expenses_view	view
data_finance.dm_finance_daily_store_bonus_related_smoke_sku_call_back	table
data_finance.dm_finance_daily_store_chengzhongcai_di_v1	table
data_finance.dm_finance_daily_store_consumable_di_v1	table
data_finance.dm_finance_daily_store_fact_operating_profit	table
data_finance.dm_finance_daily_store_isfreshfood_classification_daycnt_di_v1	table
data_finance.dm_finance_daily_store_isfreshfood_classification_di_v1	table
data_finance.dm_finance_daily_store_isfreshfood_classification_ori_daycnt_di_v1	table
data_finance.dm_finance_daily_store_ordercostsalecase_usercard_dispatch_di_v1	table
data_finance.dm_finance_daily_store_rent_hydropower_di_v1	table
data_finance.dm_finance_daily_store_scout_bee_product_leyaoyaopay_di_v1	table
data_finance.dm_finance_daily_store_sku_case_cost_info_di_v1	table
data_finance.dm_finance_daily_store_sku_chengkui_di_v1	table
data_finance.dm_finance_daily_store_sku_cost_rate_info_di_v1	table
data_finance.dm_finance_daily_store_sku_cost_rate_info_di_v2	table
data_finance.dm_finance_daily_store_sku_manual_cost_info_di_v1	table
data_finance.dm_finance_daily_store_sku_vdalccost_info_di_v1	table
data_finance.dm_finance_daily_store_sku_vdalccost_info_v1	table
data_finance.dm_finance_daily_store_sku_wastecost_rate_info_di_v1	table
data_finance.dm_finance_daily_store_spesku_di_v1	table
data_finance.dm_finance_daily_store_waste_inventory_di_v1	table
data_finance.dm_finance_daily_store_wastecost_di_v1	table
data_finance.dm_finance_daily_store_waterelec_rent_hc_consumable_di_v1	table
data_finance.dm_finance_daily_storecity_logccostrate_di_v1	table
data_finance.dm_finance_daily_takeaway_di_v1	table
data_finance.dm_finance_daily_years_weeks_sday_di_v1	table
data_finance.dm_finance_dailyaddmonthly_store_bonus_related_expenses	table
data_finance.dm_finance_honey_order_sku_promotion_v1	table
data_finance.dm_finance_honey_order_sku_promotion_v1_yzr	table
data_finance.dm_finance_integration_daily_store_is_di_v1	table
data_finance.dm_finance_integration_daily_store_is_di_v1_view	view
data_finance.dm_finance_integration_daily_store_is_global_finalsql_info_di_v1	table
data_finance.dm_finance_integration_daily_store_is_global_finalsql_info_di_v1_view	view
data_finance.dm_finance_integration_daily_store_is_global_finalsql_info_di_v1_view_v2	view
data_finance.dm_finance_integration_daily_store_is_global_finalsql_info_di_v1_view_v3	view
data_finance.dm_finance_integration_daily_store_is_global_mysql_baseinfo_di_v1	table
data_finance.dm_finance_integration_daily_store_is_oldinfo_di_v1	table
data_finance.dm_finance_integration_daily_store_is_oldinfo_di_v1_view	view
data_finance.dm_finance_integration_monthly_store_basic_information_di_v1	table
data_finance.dm_finance_integration_monthly_store_basic_information_oldinfo_di_v1	table
data_finance.dm_finance_integration_monthly_store_global_basic_information_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_di_v1_view	view
data_finance.dm_finance_integration_monthly_store_is_forglobal_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_forglobal_notax_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_global_finalsql_info_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_global_finalsql_info_di_v1_view	view
data_finance.dm_finance_integration_monthly_store_is_global_finalsql_info_di_v1_view_v2	view
data_finance.dm_finance_integration_monthly_store_is_global_finalsql_info_di_v1_view_v3	view
data_finance.dm_finance_integration_monthly_store_is_global_mysql_baseinfo_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_notax_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_notax_global_finalsql_info_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_notax_global_mysql_baseinfo_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_notax_oldinfo_di_v1	table
data_finance.dm_finance_integration_monthly_store_is_oldinfo_di_v1	table
data_finance.dm_finance_integration_monthly_store_sssg_basic_info_di_v1	table
data_finance.dm_finance_integration_monthly_storecost_di_v1	table
data_finance.dm_finance_integration_monthly_storepl_di_v1	table
data_finance.dm_finance_integration_weekly_store_basic_information_di_v1	table
data_finance.dm_finance_integration_weekly_store_basic_information_oldinfo_di_v1	table
data_finance.dm_finance_integration_weekly_store_global_basic_information_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_di_v1_view	view
data_finance.dm_finance_integration_weekly_store_is_di_v2_view	view
data_finance.dm_finance_integration_weekly_store_is_forglobal_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_global_finalsql_info_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_global_finalsql_info_di_v1_view	view
data_finance.dm_finance_integration_weekly_store_is_global_finalsql_info_di_v1_view_v2	view
data_finance.dm_finance_integration_weekly_store_is_global_mysql_baseinfo_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_oldinfo_di_v1	table
data_finance.dm_finance_integration_weekly_store_is_oldinfo_di_v1_view	view
data_finance.dm_finance_integration_weekly_store_sssg_basic_info_di_v1	table
data_finance.dm_finance_integration_weekly_storecost_di_v1	table
data_finance.dm_finance_integration_weekly_storepl_di_v1	table
data_finance.dm_finance_inventory_store_reception_sale_price	table
data_finance.dm_finance_inventory_store_stocktaking_v1	table
data_finance.dm_finance_monthly_store_bonus_related_customer_complaint	table
data_finance.dm_finance_monthly_store_bonus_related_expenses	table
data_finance.dm_finance_monthly_store_bonus_related_expenses_pre	table
data_finance.dm_finance_monthly_store_bonus_related_expenses_view	view
data_finance.dm_finance_test_daily_store_sku_cost_rate_info_di_v1	table
data_finance.dm_finance_tmp_app_mail_finance_merger_orders_info_online	table
data_finance.dm_finance_tmp_app_mail_finance_stat_data_tmp_xili01_online	table
data_finance.dm_finance_tmp_daily_store_ordercostsalecase_usercard_dispatch_di_test	table
data_finance.dm_finance_tmp_manual_store_waste_adjustment_di_v2	table
data_finance.dm_finance_user_store_allorder_minorderdate_di_v1	table
data_finance.dm_finance_weekly_inventory_store_stocktaking_v1	table
data_finance.dm_finance_weekly_store_chengzhongcai_di_v1	table
data_finance.dm_finance_weekly_storecity_costsalesrate_di_v1	table
data_finance.dm_logistics_common_sku_volume_v1	view
data_finance.dm_logistics_copy_pdw_tms_fee_fee_main	view
data_finance.dm_logistics_storage_order_outbound_di_v1	view
data_finance.dm_logistics_transport_work_paiche_document_da_v1	view
data_finance.dm_logistics_transport_work_return_sku_da_v1	view
data_finance.dm_logistics_transport_work_yunshu_document_da_v1	view
data_finance.dm_md_dataservice_contract_negotiation_purchase_rebate_clause_warehouse_sku_day_di_v1	view
data_finance.dm_md_dim_ssku_base_info_store_sku_v1	view
data_finance.dm_md_dim_warehouse_info_v1	view
data_finance.dm_md_discount_store_monitor_di_v2	view
data_finance.dm_ordering_ssku_base_info_store_sku_v1	view
data_finance.dm_promotion_beetea_detl_third_trade_detail_info_di	view
data_finance.dm_promotion_weekcard_detl_new_exp_abgroup_detail_di	table
data_finance.dm_site_selection_store_info_lite	view
data_finance.dm_takeaway_order_store_business_summary_fact_v1	view
data_finance.dm_takeaway_order_store_business_summary_fact_v2	view
data_finance.dm_takeaway_pick_delivery_package_fact	view
data_finance.dm_tmp_finance_daily_store_chengzhongcai_di_v1	table
data_finance.dm_tmp_finance_inventory_store_stocktaking_v1	table
data_finance.dw_build_project_schedule_base_info_v1	view
data_finance.dw_finance_daily_honey_order_sku_promotion_v1	table
data_finance.dw_finance_honey_order_sku_promotion_v1	table
data_finance.dw_finance_inventory_store_adjustment_v1	table
data_finance.dw_hive_meta_tmptable_to_clean_data_finance	view
data_finance.dw_inventory_sku_beginning_inventory_v1	view
data_finance.dw_inventory_store_changes_v1	view
data_finance.dw_inventory_store_reception_v2	view
data_finance.dw_inventory_store_stocktaking_v1	view
data_finance.dw_inventory_warehouse_reception_v1	view
data_finance.dw_order_payment_pay_v2	view
data_finance.dw_order_payment_pay_v2_2019_2020	view
data_finance.dw_order_sku_promotion_v1	view
data_finance.dw_order_sku_realtime_di_v1	view
data_finance.dw_order_sku_v1	view
data_finance.dw_order_v1	view
data_finance.dw_order_v1_2021_3	view
data_finance.dw_ordering_financial_calculation_force_worktime_di	view
data_finance.dw_ordering_report_store_business_status_da	view
data_finance.dw_promotion_coupon_usage	view
data_finance.dw_roster_effect_roster_detail_info_da_view	view
data_finance.dw_sap_compare_sku_detail_da	table
data_finance.dw_store_rent_info_v1	view
data_finance.dw_store_sku_sale_price_v2	view
data_finance.dw_store_sku_vendor_contract_info_snapshot_di_v1	view
data_finance.dw_user_flow_app_di_v1	view
data_finance.dw_user_flow_app_wechat_di_v1	view
data_finance.dwa_dwa_finance_model_manage_statistics_cover_info_view	view
data_finance.dwa_engineering_device_pay_plan_da	table
data_finance.dwa_engineering_device_pay_plan_v1_da	table
data_finance.dwa_engineering_device_pay_plan_v3_da	table
data_finance.dwa_finance_ar_invoice_rent_detail_da_v1	table
data_finance.dwa_finance_asset_booking_detail_v1	table
data_finance.dwa_finance_asset_booking_fail_v1	table
data_finance.dwa_finance_asset_booking_wait_v1	table
data_finance.dwa_finance_asset_booking_week_detail_v1	table
data_finance.dwa_finance_asset_management0202_view	view
data_finance.dwa_finance_budget_control0501_view	view
data_finance.dwa_finance_budget_control0502_view	view
data_finance.dwa_finance_contract_review_view	view
data_finance.dwa_finance_daily_store_detail_v1	table
data_finance.dwa_finance_engineering_device_pay_plan_da	table
data_finance.dwa_finance_engineering_invest_pay_trace_da_v1	table
data_finance.dwa_finance_factory_analysis_report_build_statistics_view	view
data_finance.dwa_finance_factory_budget_element_split_statistics_view	view
data_finance.dwa_finance_factory_budget_issued_statistics_view	view
data_finance.dwa_finance_factory_capex_budget_management_statistics_view	view
data_finance.dwa_finance_factory_cost_allocation_statistics_view	view
data_finance.dwa_finance_factory_engineering_invest_risk_management_statistics_view	view
data_finance.dwa_finance_factory_model_test_statistics_view	view
data_finance.dwa_finance_factory_vat_reduce_statistics_view	view
data_finance.dwa_finance_financial_analysis0205_view	view
data_finance.dwa_finance_industry_finance0207_view	view
data_finance.dwa_finance_integration_store_daily_detail_v1	table
data_finance.dwa_finance_management_report_issued0201_view	view
data_finance.dwa_finance_model_control0206_view	view
data_finance.dwa_finance_model_control0503_view	view
data_finance.dwa_finance_model_control0504_view	view
data_finance.dwa_finance_model_control0505_view	view
data_finance.dwa_finance_model_control0506_view	view
data_finance.dwa_finance_model_control0507_view	view
data_finance.dwa_finance_model_control0508_view	view
data_finance.dwa_finance_of_rebate_bridge_business_da_v1	table
data_finance.dwa_finance_of_rebate_bridge_da_v1	table
data_finance.dwa_finance_of_rebate_bridge_finance_da_v1	table
data_finance.dwa_finance_open_shop_week_spu_v1	table
data_finance.dwa_finance_open_store_month_detail_v1	table
data_finance.dwa_finance_os_asset_check_detail_v1	table
data_finance.dwa_finance_os_badcase_summary_ma_v1	table
data_finance.dwa_finance_os_bu01_summary_ma_v1	table
data_finance.dwa_finance_os_bu02_summary_ma_v1	table
data_finance.dwa_finance_os_bu03_summary_ma_v1	table
data_finance.dwa_finance_os_bu04_summary_ma_v1	table
data_finance.dwa_finance_os_bu05_summary_ma_v1	table
data_finance.dwa_finance_os_bu06_summary_ma_v1	table
data_finance.dwa_finance_os_bu07_summary_ma_v1	table
data_finance.dwa_finance_os_bu08_summary_ma_v1	table
data_finance.dwa_finance_os_budget_bmh_approve_detail_mi_v1	table
data_finance.dwa_finance_os_buffett_svmachine_flag_rent_da_v1	table
data_finance.dwa_finance_os_commodity_bu_warn_ma_v1	table
data_finance.dwa_finance_os_entity_supplier_final_bill_da_v1	table
data_finance.dwa_finance_os_hurdle_template_da_v1	table
data_finance.dwa_finance_os_index_summary_ma_v1	table
data_finance.dwa_finance_os_invoice_approve_diff_rate_mi_v1	table
data_finance.dwa_finance_os_pay_tax_ma_v1	table
data_finance.dwa_finance_os_pay_tax_warn_ma_v1	table
data_finance.dwa_finance_os_tax_invoice_scan_da_v1	table
data_finance.dwa_finance_os_workflow_approval_error_rate_mi_v1	table
data_finance.dwa_finance_os_workflow_deadline_ma_v1	table
data_finance.dwa_finance_os_workflow_detail_mi_v1	table
data_finance.dwa_finance_os_workflow_node_message_ma_v1	table
data_finance.dwa_finance_os_workflow_vat_return_rate_mi_v1	table
data_finance.dwa_finance_payment_review_view	view
data_finance.dwa_finance_post_investment_financial_analysis_view	view
data_finance.dwa_finance_pr_po_detail_v1	table
data_finance.dwa_finance_quality_financial0203_view	view
data_finance.dwa_finance_quality_financial0204_view	view
data_finance.dwa_finance_relation_manange_degree_rate_view	view
data_finance.dwa_finance_sku_spu_store_warehouse_v1	table
data_finance.dwa_finance_spu_store_warehouse_v1	table
data_finance.dwa_finance_spu_warehouse_quantity_v1	table
data_finance.dwa_finance_store_cost_weekly_global_di_v1	table
data_finance.dwa_finance_store_logistics_risk_warn_di	table
data_finance.dwa_finance_store_logistics_risk_warn_info_di	table
data_finance.dwa_finance_store_logistics_risk_warn_report_di	table
data_finance.dwa_finance_store_month_detail_v1	table
data_finance.dwa_finance_store_operating_status_month_v1	table
data_finance.dwa_finance_store_operating_status_v1	table
data_finance.dwa_finance_store_operating_status_week_v1	table
data_finance.dwa_finance_store_quarter_count_v1	table
data_finance.dwa_finance_store_quarter_month_v1	table
data_finance.dwa_finance_store_quarter_predict_v1	table
data_finance.dwa_finance_store_quarter_week_v1	table
data_finance.dwa_finance_store_sku_history_price_di	table
data_finance.dwa_finance_store_unified_assets_booking_warn_warehouse_v1	table
data_finance.dwa_finance_store_unified_assets_booking_week_warn_warehouse_v1	table
data_finance.dwa_finance_tripartite_price_comparison_view	view
data_finance.dwa_finance_voucher_systematic_statistics_view	view
data_finance.dwa_os_info	view
data_finance.dwa_shop_ele_consume_di	table
data_finance.dwa_soberhi_consume_product_data_di	table
data_finance.dwa_soberhi_consume_product_data_di_v2	table
data_finance.dwa_soberhi_discard_data_di	table
data_finance.dwa_soberhi_discard_data_di_v2	table
data_finance.dwa_soberhi_merge_data_di	table
data_finance.dwa_soberhi_merge_data_di_v2	table
data_finance.dwa_soberhi_rent_data_di_v1	table
data_finance.dwa_soberhi_sale_data_di	table
data_finance.dwa_soberhi_sale_data_di_v2	table
data_finance.dwa_soberhi_shop_summary_di	table
data_finance.dwa_soberhi_store_detail_di_v1	table
data_finance.dwa_soberhi_third_trade_data_di_v2	table
data_finance.dwa_soberhi_third_trade_date_di	table
data_finance.dwd_dm_app_logistics_user_info_di_view	view
data_finance.dwd_dm_app_logistics_work_piece_di_detail_v1_view	view
data_finance.dwd_drink_labour_cost_store_day_da	view
data_finance.dwd_engineering_device_purchase_receipt_order_da	table
data_finance.dwd_engineering_device_purchase_receipt_order_shop_da	table
data_finance.dwd_engineering_device_purchase_receipt_order_warehouse_da	table
data_finance.dwd_engineering_device_purchase_receipt_pay_da	table
data_finance.dwd_finance_asset_management0202_property_assessment_view	view
data_finance.dwd_finance_bach_allocation_booking_pool_flow_v1	table
data_finance.dwd_finance_bach_allocation_spu_component_v1	table
data_finance.dwd_finance_budget_control0501_pre_realistic_tracking_view	view
data_finance.dwd_finance_budget_control0502_budgetary_planning_view	view
data_finance.dwd_finance_contract_review_contract_review_view	view
data_finance.dwd_finance_daily_store_spesku_di_v1_waste_ratio_datainfo_di	table
data_finance.dwd_finance_date_week_of_month_v1	table
data_finance.dwd_finance_factory_analysis_report_build_result_detail_view	view
data_finance.dwd_finance_factory_budget_element_split_work_detail_view	view
data_finance.dwd_finance_factory_budget_issued_time_detail_view	view
data_finance.dwd_finance_factory_capex_budget_management_detail_view	view
data_finance.dwd_finance_factory_cost_allocation_result_detail_view	view
data_finance.dwd_finance_factory_engineering_invest_risk_management_badcase_detail_view	view
data_finance.dwd_finance_factory_model_test_result_detail_view	view
data_finance.dwd_finance_factory_vat_reduce_pay_detail_view	view
data_finance.dwd_finance_financial_analysis0205_analysis_report_view	view
data_finance.dwd_finance_goods_purchase_receipt_order_di	table
data_finance.dwd_finance_goods_purchase_receipt_pay_di	table
data_finance.dwd_finance_h3_budget_work_list_month_v1	table
data_finance.dwd_finance_h3_budget_work_list_month_v2	table
data_finance.dwd_finance_h3_computer_begin_v1	table
data_finance.dwd_finance_h3_work_list_budget_air_conditioner_mi	table
data_finance.dwd_finance_h3_work_list_month_account_mi	table
data_finance.dwd_finance_h3_work_list_month_bank_flow_mi	table
data_finance.dwd_finance_h3_work_list_month_budget_manage_data_v1	table
data_finance.dwd_finance_h3_work_list_month_invoice_audit_data_v1	table
data_finance.dwd_finance_h3_work_list_month_invoice_scan_data_v1	table
data_finance.dwd_finance_h3_work_list_month_manual_upload_data_v1	table
data_finance.dwd_finance_h3_work_list_month_product_invoice_audit_data_v1	table
data_finance.dwd_finance_h3_work_list_month_re_audit_data_v1_mi	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_budget_data_017257_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_budget_data_020348_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_budget_data_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_016508_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_017354_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_017571_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_018383_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_020661_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_026566_v1	table
data_finance.dwd_finance_h3_work_list_month_ripple_audit_data_v1	table
data_finance.dwd_finance_h3_work_list_month_v1	table
data_finance.dwd_finance_h3_work_time_month_v1	table
data_finance.dwd_finance_industry_finance0207_system_deployment_view	view
data_finance.dwd_finance_management_report_issued0201_management_report_view	view
data_finance.dwd_finance_model_control0206_fresh_food_factory_view	view
data_finance.dwd_finance_model_control0503_optimization_model_view	view
data_finance.dwd_finance_model_control0504_iterative_model_view	view
data_finance.dwd_finance_model_control0505_iterative_model_view	view
data_finance.dwd_finance_model_control0506_actual_value_view	view
data_finance.dwd_finance_model_control0507_build_model_system_view	view
data_finance.dwd_finance_model_control0508_build_model_system_view	view
data_finance.dwd_finance_model_manage_statistics_cover_info_view	view
data_finance.dwd_finance_non_receipt_engineering_device_pay_plan_da	table
data_finance.dwd_finance_open_shop_estimated_info_v1	table
data_finance.dwd_finance_open_store_begin_count_v1	table
data_finance.dwd_finance_open_store_begin_detail_v1	table
data_finance.dwd_finance_operate_ripple_order_main_v1_da	table
data_finance.dwd_finance_operate_ripple_order_task_da_v1_da	table
data_finance.dwd_finance_operate_ripple_order_task_v1_da	table
data_finance.dwd_finance_os_badcase_detail_ma_v1	table
data_finance.dwd_finance_os_bu01_detail_ma_v1	table
data_finance.dwd_finance_os_bu02_detail_ma_v1	table
data_finance.dwd_finance_os_bu03_detail_ma_v1	table
data_finance.dwd_finance_os_bu04_detail_ma_v1	table
data_finance.dwd_finance_os_bu05_detail_ma_v1	table
data_finance.dwd_finance_os_bu06_detail_ma_v1	table
data_finance.dwd_finance_os_bu07_detail_ma_v1	table
data_finance.dwd_finance_os_bu08_detail_ma_v1	table
data_finance.dwd_finance_os_budget_bmh_approve_detail_mi_v1	table
data_finance.dwd_finance_os_commodity_bu_warn_detail_ma_v1	table
data_finance.dwd_finance_os_index_detail_ma_v1	table
data_finance.dwd_finance_os_pay_tax_detail_ma_v1	table
data_finance.dwd_finance_os_pay_tax_warn_detail_ma_v1	table
data_finance.dwd_finance_os_workflow_approval_error_rate_mi_v1	table
data_finance.dwd_finance_os_workflow_task_node_ma_v1	table
data_finance.dwd_finance_os_workflow_vat_return_rate_mi_v1	table
data_finance.dwd_finance_payment_review_payment_review_view	view
data_finance.dwd_finance_post_investment_financial_analysis_financial_analysis_view	view
data_finance.dwd_finance_pr_po_detail_v1	table
data_finance.dwd_finance_quality_financial0203_financial_approval_view	view
data_finance.dwd_finance_quality_financial0204_services_research_view	view
data_finance.dwd_finance_receipt_bill_extend_da	table
data_finance.dwd_finance_receipt_engineering_device_pay_plan_da	table
data_finance.dwd_finance_relation_manange_degree_rate_view	view
data_finance.dwd_finance_revoke_shop_list_da	table
data_finance.dwd_finance_revoke_shop_sku_inventory_snapshot_da	table
data_finance.dwd_finance_revoke_shop_sku_return_warehouse_da	table
data_finance.dwd_finance_revoke_shop_sku_wac_da	table
